Exp,Week,Strain,Sex,Irradiation.Dose,Input,Mouse,CD45.Percent,GPA.Percent,CD33.15.Percent,CD19.Percent,CD3.Percent,CD34.Percent
140708M,6,NRG-W41,F,150 Rad,CB.38Km,M1R,31.86384877,42.42618946,18.32890824,11.16981733,1.00E-07,8.470157179
140708M,6,NRG-W41,F,150 Rad,CB.38Km,M1RR,48.98896964,2.032854632,11.40300379,32.67730296,1.00E-07,5.900675391
140708M,6,NRG,M,150 Rad,CB.38Km,M2L,1.166084387,0.022884343,0.200365132,0.873164803,1.00E-07,0.033563702
140708M,6,NRG,M,150 Rad,CB.38Km,M2R,1.654129866,0.053023648,0.648759922,0.837981566,1.00E-07,0.29422926
140708M,6,NRG-W41,M,150 Rad,CB.38Km,M3L,59.00881614,19.3728108,21.3640514,32.3984132,1.00E-07,9.644104432
140708M,6,NRG-W41,M,150 Rad,CB.38Km,M3R,3.301504509,0.033768339,0.971489132,1.976227089,1.00E-07,0.273263788
140708M,10,NRG,F,150 Rad,CB.38Km,M1L,13.57451404,0.091792657,1.798056156,10.20518359,1.00E-07,0.842332613
140708M,10,NRG,F,150 Rad,CB.38Km,M1LL,9.531465006,0.107630894,2.467336067,6.175833458,1.00E-07,0.59128871
140708M,10,NRG-W41,F,150 Rad,CB.38Km,M1R,81.06614188,10.97974605,28.79132279,47.12666473,1.00E-07,5.022552415
140708M,10,NRG-W41,F,150 Rad,CB.38Km,M1RR,23.93089056,5.21604644,8.582536202,13.89656889,1.00E-07,1.841611847
140708M,10,NRG,M,150 Rad,CB.38Km,M2L,5.748913862,0.020841015,1.164424922,4.012696988,1.00E-07,0.377810197
140708M,10,NRG,M,150 Rad,CB.38Km,M2R,4.724824116,0.003579025,0.803746728,3.644981185,1.00E-07,0.101235275
140708M,10,NRG-W41,M,150 Rad,CB.38Km,M3L,64.37414242,20.08540007,18.25605685,41.82760245,1.00E-07,3.873722583
140708M,10,NRG-W41,M,150 Rad,CB.38Km,M3R,1.294809836,0.01820745,0.465070307,0.721535252,1.00E-07,0.130053218
140708M,20,NRG,F,150 Rad,CB.38Km,M1L,27.79787739,0.041064563,3.007625265,21.36914918,1.00E-07,0.935988842
140708M,20,NRG,F,150 Rad,CB.38Km,M1LL,28.31879722,0.084934841,4.988337305,20.77480858,1.00E-07,1.2391613
140708M,20,NRG-W41,F,150 Rad,CB.38Km,M1RR,75.06522281,3.917245963,24.59744648,41.59858199,1.00E-07,4.264547041
140708M,20,NRG,M,150 Rad,CB.38Km,M2L,20.68517348,0.050181154,1.260048776,16.23009063,1.00E-07,0.608195586
140708M,20,NRG,M,150 Rad,CB.38Km,M2R,19.39154735,0.036491794,11.59382712,0.85083499,1.00E-07,0.261204421
140708M,20,NRG-W41,M,150 Rad,CB.38Km,M3L,62.30420472,29.65513595,24.2303676,33.42497984,1.00E-07,2.498248582
140708M,20,NRG-W41,M,150 Rad,CB.38Km,M3R,6.797481704,0.011717959,0.780842202,5.340193666,1.00E-07,0.14381132
140708M,30,NRG,F,150 Rad,CB.38Km,M1L,12.83092809,0.110102015,7.967156009,3.806917144,1.563199801,1.378452351
140708M,30,NRG,F,150 Rad,CB.38Km,M1LL,22.2870761,0.637210547,11.45385958,5.142926326,4.292250245,1.824971007
140708M,30,NRG-W41,F,150 Rad,CB.38Km,M1RR,61.54089145,23.21200634,22.72270143,30.20474735,5.639577612,5.607988757
140708M,30,NRG,M,150 Rad,CB.38Km,M2L,22.02716091,0.421670734,5.623081942,4.80269676,9.01215475,0.627069086
140708M,30,NRG,M,150 Rad,CB.38Km,M2R,9.480562982,0.034127752,2.977330325,0.038551719,4.056146471,0.133983025
140708M,30,NRG-W41,M,150 Rad,CB.38Km,M3R,14.4773516,0.061138983,2.113490736,10.62439685,0.440560321,0.800201399
140708M,3,NRG,F,900 Rad,CB.38Kq,Q1L,17.02881345,52.61716828,13.67430319,2.456523134,0.231020984,2.344007358
140708M,3,NRG,F,900 Rad,CB.38Kq,Q1LL,30.09956327,38.34560059,25.11071069,4.040558287,0.135906911,5.399627401
140708M,3,NRG,F,150 Rad,CB.38Kq,Q2L,5.636804906,0.109480742,3.147813534,2.043317557,0.04505181,0.383182595
140708M,3,NRG,F,150 Rad,CB.38Kq,Q2LL,4.343340657,0.083821465,1.833160565,2.123807776,0.01587152,0.327846086
140708M,3,NRG,M,900 Rad,CB.38Kq,Q3L,0.526412957,0.03991757,0.262956994,0.213060031,0.003492787,0.038420661
140708M,3,NRG,M,900 Rad,CB.38Kq,Q3LL,0.869630109,0.042785005,0.683067585,0.141787518,0.010945001,0.120395015
140708M,3,NRG,F,150 Rad,CB.38Kq,Q3R,7.286752149,4.869412525,6.496087682,0.519551941,0.054511949,0.951305875
140708M,3,NRG,F,150 Rad,CB.38Kq,Q3RR,17.99678708,10.42709955,14.18591276,3.123171663,0.145275329,0.975278403
140708M,6,NRG,F,900 Rad,CB.38Kq,Q1L,76.42037618,0.080711899,6.820155498,60.80824283,0.578265001,2.559793214
140708M,6,NRG,F,900 Rad,CB.38Kq,Q1LL,86.73064048,0.116789407,6.723945548,70.96109499,0.026779737,3.912073198
140708M,6,NRG,F,150 Rad,CB.38Kq,Q2L,24.09474768,0.015962925,2.354273944,18.99124614,0.347064882,0.65653965
140708M,6,NRG,F,150 Rad,CB.38Kq,Q2LL,27.43134939,0.278809938,6.274237455,17.96549854,0.033457193,1.227270653
140708M,6,NRG,M,900 Rad,CB.38Kq,Q3L,0.995920571,0.001782522,0.244714822,0.61497013,0.001782522,0.078940265
140708M,6,NRG,M,900 Rad,CB.38Kq,Q3LL,1.651852672,0.002516534,0.08757537,1.395166242,0.010569441,0.018622349
140708M,6,NRG,F,150 Rad,CB.38Kq,Q3R,58.70697224,0.219490781,5.098745623,46.0779268,0.123621245,1.994086363
140708M,6,NRG,F,150 Rad,CB.38Kq,Q3RR,22.41230813,0.015380041,2.745849952,17.49633442,0.037424766,0.84436424
140708M,10,NRG,F,900 Rad,CB.38Kq,Q1L,66.85010122,0.127749062,7.076315324,53.7037401,0.193588962,3.195691909
140708M,10,NRG,F,900 Rad,CB.38Kq,Q1LL,91.24626663,0.103176758,7.800162911,76.53326093,0.016291067,4.393157752
140708M,10,NRG,F,150 Rad,CB.38Kq,Q2L,51.14327813,0.017622784,4.655841708,40.93185367,0.034756047,2.235645997
140708M,10,NRG,F,150 Rad,CB.38Kq,Q2LL,55.94032261,0.063804757,4.516678962,45.12840707,0.041871872,2.028791897
140708M,10,NRG,M,900 Rad,CB.38Kq,Q3L,0.190825592,0.006954919,0.022603487,0.146487983,0.00173873,0.009128331
140708M,10,NRG,M,900 Rad,CB.38Kq,Q3LL,3.116551517,0.004096234,0.375488135,2.325978317,0.005461646,0.138589257
140708M,10,NRG,F,150 Rad,CB.38Kq,Q3R,40.77537648,0.097941245,4.105080516,33.42878876,0.039275931,1.35725685
140708M,10,NRG,F,150 Rad,CB.38Kq,Q3RR,23.35793633,0.012425756,1.374785656,20.11083774,0.023857452,0.689877979
140708M,20,NRG,F,900 Rad,CB.38Kq,Q1L,66.22311097,3.871432562,24.06179393,34.08174168,0.042150044,6.087740709
140708M,20,NRG,F,900 Rad,CB.38Kq,Q1LL,21.2842563,1.02059186,6.203869109,13.10290391,0.022156675,1.69637046
140708M,20,NRG,F,150 Rad,CB.38Kq,Q2L,46.72002596,0.04424757,6.44539604,32.08391306,0.024090344,2.570783821
140708M,20,NRG,F,150 Rad,CB.38Kq,Q2LL,48.95367234,0.11938618,4.324109214,36.8442253,0.036398226,1.601036621
140708M,20,NRG,M,900 Rad,CB.38Kq,Q3L,0.345968419,0.007807468,0.034645639,0.237639802,0,0.01951867
140708M,20,NRG,M,900 Rad,CB.38Kq,Q3LL,0.958243562,0.00923361,0.207756233,0.603775521,0.002564892,0.057966554
140708M,20,NRG,F,150 Rad,CB.38Kq,Q3R,42.28017252,0.212909177,10.48041684,25.81735683,0.015955723,3.400563436
140708M,20,NRG,F,150 Rad,CB.38Kq,Q3RR,24.49041271,0.043654925,5.448230536,14.73185802,0.000479724,2.342014747
140708M,30,NRG,F,900 Rad,CB.38Kq,Q1LL,67.25720322,3.512704653,11.23349569,49.56810046,2.648318761,2.702306203
140708M,30,NRG,F,150 Rad,CB.38Kq,Q2L,39.30086021,0.666229649,8.677708063,25.36756345,2.987330934,1.292324981
140708M,30,NRG,F,150 Rad,CB.38Kq,Q2LL,37.30732398,0.274488993,14.97672943,8.570766312,13.73786911,0.798457982
140708M,30,NRG,M,900 Rad,CB.38Kq,Q3L,0.09747627,0.01331643,0.069245438,0.025034889,0.018110345,0.002663286
140708M,30,NRG,M,900 Rad,CB.38Kq,Q3LL,11.50003552,0.032290772,1.682995034,8.915482134,0.374572955,0.523110505
140708M,30,NRG,F,150 Rad,CB.38Kq,Q3R,26.2874719,0.541796394,13.6079313,4.446304779,8.510718351,0.661254974
140708M,30,NRG,F,150 Rad,CB.38Kq,Q3RR,24.83604883,0.030289582,6.317843382,0.949543191,19.30221255,0.068327663
141118R,3,NRG-W41,F,150 Rad,CB.38K,R1L,4.847524122,0.636251113,2.648512881,2.089712131,9.00E-07,0.212083704
141118R,3,NRG-W41,F,0 Rad,CB.38K,R1LL,1.225410171,0.073463391,0.306607624,0.873908252,9.00E-07,0.036221533
141118R,3,NRG,F,900 Rad,CB.20K,R1R,3.670764903,0.088774326,0.977052372,1.82896503,9.00E-07,0.586659251
141118R,3,NRG-W41,F,0 Rad,CB.38K,R1RR,0.479116871,0.019423657,0.018884111,0.291354854,9.00E-07,0.024279571
141118R,3,NRG-W41,M,150 Rad,CB.38K,R2L,4.34259565,1.686559419,3.601924801,0.672264943,9.00E-07,0.412794263
141118R,3,NRG-W41,M,0 Rad,CB.38K,R2LL,3.597587708,0.269992836,1.521048748,1.982442446,9.00E-07,0.115482084
141118R,3,NRG-W41,M,150 Rad,CB.38K,R2R,1.145471042,0.088030071,0.764727485,0.234386814,9.00E-07,0.246808235
141118R,3,NRG-W41,M,0 Rad,CB.38K,R2RR,0.112241134,0.007377352,0.021605101,0.055330136,9.00E-07,0.011592981
141118R,3,NRG,F,900 Rad,CB.38K,R3L,17.15959391,17.90504085,14.93316303,1.849853553,9.00E-07,1.451254157
141118R,3,NRG,F,0 Rad,CB.38K,R3LL,1.160610338,0.022666158,0.159178249,0.944766693,9.00E-07,0.026787278
141118R,3,NRG,F,900 Rad,CB.38K,R3R,18.35225108,29.04227559,13.8709376,3.101839538,9.00E-07,3.715018942
141118R,3,NRG,F,0 Rad,CB.38K,R3RR,1.079134763,0.019825217,0.130739266,0.614581715,9.00E-07,0.071799433
141118R,3,NRG,M,900 Rad,CB.38K,R4L,15.50984411,12.10849979,14.14167898,1.237069171,9.00E-07,2.109453211
141118R,3,NRG,M,0 Rad,CB.38K,R4LL,0.216223898,0.050756784,0.034514613,0.171557929,9.00E-07,0.004060543
141118R,3,NRG,M,900 Rad,CB.38K,R4R,9.94025579,8.416810519,9.152864321,0.41326822,9.00E-07,0.986324929
141118R,3,NRG,M,0 Rad,CB.38K,R4RR,0.183807642,0.01210019,0.013828788,0.068567741,9.00E-07,0.006338195
141118R,3,NRG-W41,F,150 Rad,CB.20K,R5L,1.674244478,0.05526936,0.299288798,1.305086867,9.00E-07,0.048491042
141118R,3,NRG-W41,F,150 Rad,CB.20K,R5LL,1.910225551,3.910425494,0.559071649,1.304244177,9.00E-07,0.093050439
141118R,3,NRG-W41,F,150 Rad,CB.20K,R5R,1.521425224,0.096583248,0.48578505,0.752584319,9.00E-07,0.202729194
141118R,3,NRG,F,900 Rad,CB.20K,R6L,2.299335747,1.79725857,2.00608713,0.246595428,9.00E-07,0.228822785
141118R,3,NRG-W41,F,150 Rad,CB.20K,R6LL,12.65891784,29.54068136,11.58637275,0.933066132,9.00E-07,0.739078156
141118R,3,NRG,F,900 Rad,CB.20K,R6R,5.385355425,65.8546232,3.866381614,1.169428113,9.00E-07,0.588989845
141118R,6,NRG-W41,F,150 Rad,CB.38K,R1L,60.93871139,12.65250745,12.91671767,32.89366304,9.00E-07,8.787285265
141118R,6,NRG-W41,F,0 Rad,CB.38K,R1LL,38.61375388,0.378490176,5.628231644,20.09307135,9.00E-07,5.247156153
141118R,6,NRG,F,900 Rad,CB.20K,R1R,33.27997859,0.053526303,5.61562968,19.53504171,9.00E-07,1.021631832
141118R,6,NRG-W41,F,0 Rad,CB.38K,R1RR,0.563813957,0.004119189,0.101435022,0.333654287,9.00E-07,0.035528003
141118R,6,NRG-W41,M,150 Rad,CB.38K,R2L,29.34711137,3.974639289,12.59802952,11.54703546,9.00E-07,6.887058232
141118R,6,NRG-W41,M,0 Rad,CB.38K,R2LL,20.95436539,1.505890827,2.568812059,13.30349334,9.00E-07,1.854195606
141118R,6,NRG-W41,M,150 Rad,CB.38K,R2R,5.681631141,0.106472718,1.196917949,2.917455353,9.00E-07,0.503045017
141118R,6,NRG-W41,M,0 Rad,CB.38K,R2RR,0.324815747,0.004854583,0.023390264,0.193300675,9.00E-07,0.013681098
141118R,6,NRG,F,900 Rad,CB.38K,R3L,70.74128247,0.022854009,4.803912606,51.07312267,9.00E-07,3.472285706
141118R,6,NRG,F,0 Rad,CB.38K,R3LL,8.535958992,0.007704398,0.491540571,5.592879082,9.00E-07,0.371351968
141118R,6,NRG,F,900 Rad,CB.38K,R3R,24.63446757,0.047331433,7.930587424,12.22797288,9.00E-07,4.846327184
141118R,6,NRG,F,0 Rad,CB.38K,R3RR,12.09804105,0.004161335,0.300656451,9.257409777,9.00E-07,0.261643935
141118R,6,NRG,M,900 Rad,CB.38K,R4L,18.47534875,0.054404172,4.670546813,11.17287182,9.00E-07,1.012122892
141118R,6,NRG,M,0 Rad,CB.38K,R4LL,1.85376062,0.003644011,0.074962519,1.353489922,9.00E-07,0.038522405
141118R,6,NRG,M,900 Rad,CB.38K,R4R,42.82479056,0.926499113,9.039040898,23.78358301,9.00E-07,2.735648549
141118R,6,NRG,M,0 Rad,CB.38K,R4RR,0.274188625,0.048326381,0.026452335,0.188727236,9.00E-07,0.015260962
141118R,6,NRG-W41,F,150 Rad,CB.20K,R5L,17.62479214,0.006197003,0.379566416,13.53838527,9.00E-07,0.31088297
141118R,6,NRG-W41,F,150 Rad,CB.20K,R5LL,53.41168099,17.04396613,19.12934066,23.36970535,9.00E-07,11.16995493
141118R,6,NRG-W41,F,150 Rad,CB.20K,R5R,17.28052211,0.016031608,0.288051798,13.3620868,9.00E-07,0.20685946
141118R,6,NRG,F,900 Rad,CB.20K,R6L,28.52237666,0.731218988,10.14517985,13.00912089,9.00E-07,2.454322994
141118R,6,NRG-W41,F,150 Rad,CB.20K,R6LL,10.74971153,0.272170795,4.374395248,4.943056281,9.00E-07,1.702878491
141118R,6,NRG,F,900 Rad,CB.20K,R6R,46.36873515,1.329043448,12.21744998,25.65874885,9.00E-07,3.400093392
141118R,10,NRG-W41,F,150 Rad,CB.38K,R1L,47.64595005,0.328289439,13.25776219,29.96910833,0.000523588,9.523535264
141118R,10,NRG-W41,F,0 Rad,CB.38K,R1LL,53.89823436,0.589416582,14.77662155,31.9505516,0.000521608,11.56456198
141118R,10,NRG,F,900 Rad,CB.20K,R1R,44.88489216,0.0031455,2.824309825,34.20452043,0.002097,2.819766324
141118R,10,NRG-W41,F,0 Rad,CB.38K,R1RR,0.963554801,0.021235368,0.023358904,0.806413081,0.000530884,0.03291482
141118R,10,NRG-W41,M,150 Rad,CB.38K,R2L,72.97227018,18.23968713,55.10286867,13.401011,0,55.00821701
141118R,10,NRG-W41,M,0 Rad,CB.38K,R2LL,9.565974193,0.007568018,0.578953343,7.813978128,0,0.476785106
141118R,10,NRG-W41,M,150 Rad,CB.38K,R2R,1.711104785,0.018344561,0.383970649,0.986178322,0.000632571,0.345383813
141118R,10,NRG-W41,M,0 Rad,CB.38K,R2RR,0.020056369,0.003694594,0.005277992,0.010028184,0,0.004750193
141118R,10,NRG,F,900 Rad,CB.38K,R3L,21.51584339,0.058622073,2.213754589,15.49628213,0,2.341797538
141118R,10,NRG,F,0 Rad,CB.38K,R3LL,5.705086594,0.004154441,0.343260717,4.149248306,0,0.378573469
