Exp,Week,Strain,Sex,Irradiation.Dose,Input,Mouse,CD45.Percent,GPA.Percent,CD33.15.Percent,CD19.Percent,CD3.Percent,CD34.Percent
140825Q,3,NRG,F,900 Rad,CB.20K,Q1R,12.49173463,19.28219822,12.04540445,0.326941444,0.170817721,0.576739402
140825Q,3,NRG,F,900 Rad,CB.20K,Q1RR,16.24381188,54.73391089,14.17079208,1.516089109,0,3.681930693
140825Q,3,NRG-W41,F,150 Rad,CB.20K,Q4L,21.90710516,14.02250061,10.22481829,9.39654039,0.148376312,1.457468587
140825Q,3,NRG-W41,F,150 Rad,CB.20K,Q4N,22.48759831,11.14579552,13.93829401,6.572292801,0.183908046,2.24077435
140825Q,3,NRG-W41,F,150 Rad,CB.20K,Q4R,18.73252071,16.760769,13.34142438,4.425448085,0.175892213,3.078113732
140825Q,6,NRG,F,900 Rad,CB.20K,Q1N,80.04062976,0.664555936,9.959694412,61.40172676,0.094010352,2.458316674
140825Q,6,NRG,F,900 Rad,CB.20K,Q1R,87.02419294,0.062916635,9.665193618,71.04186952,0.047936484,3.960752004
140825Q,6,NRG,F,900 Rad,CB.20K,Q1RR,89.0002297,0.656799127,8.953284713,70.9378948,0.036608476,7.184592856
140825Q,6,NRG-W41,F,150 Rad,CB.20K,Q4L,70.48883888,20.19047236,32.3983846,34.56631372,0.401840429,3.759217215
140825Q,6,NRG-W41,F,150 Rad,CB.20K,Q4N,75.95335717,5.358684259,18.47601578,49.08517788,0.053178371,7.469634379
140825Q,6,NRG-W41,F,150 Rad,CB.20K,Q4R,89.21247656,4.142980446,22.83401292,61.34111134,0.273817673,3.229262776
140825Q,10,NRG,F,900 Rad,CB.20K,Q1N,76.4333883,0.103671962,12.67611892,53.46313721,0.029126885,5.446727422
140825Q,10,NRG,F,900 Rad,CB.20K,Q1R,49.34651031,0.624172499,6.651219974,37.59409873,0.018914318,3.694912048
140825Q,10,NRG,F,900 Rad,CB.20K,Q1RR,37.81428392,0.064422612,4.684060772,29.38565881,0.015210895,2.0463127
140825Q,10,NRG-W41,F,150 Rad,CB.20K,Q4L,85.7087048,2.20775318,19.76259641,56.53310628,0.037563859,6.808073725
140825Q,10,NRG-W41,F,150 Rad,CB.20K,Q4N,74.40755922,8.054191753,27.50776992,38.9216702,0.064061178,10.35488892
140825Q,10,NRG-W41,F,150 Rad,CB.20K,Q4R,43.26611298,5.298225155,18.14878548,22.43728312,0.039109164,3.85189715
140825Q,20,NRG,F,900 Rad,CB.20K,Q1N,53.84680851,0.787234043,15.0070922,25.86241135,2.506382979,4.845390071
140825Q,20,NRG,F,900 Rad,CB.20K,Q1R,55.36626917,2.899630892,10.57637706,35.54620954,2.846394094,2.814452016
140825Q,20,NRG,F,900 Rad,CB.20K,Q1RR,78.55292034,2.264614896,34.37376061,35.95092673,0.999444753,6.089209698
140825Q,20,NRG-W41,F,150 Rad,CB.20K,Q4L,78.21485846,3.492242569,33.44739492,37.47762279,0.462462238,6.662812815
